ID;Sex;FLMAX;FPMIL;FPMIN;FDSTT;FDSTAP;FDMINDT;FDMINAP;FDMILAP;FDMILT;FTDMAX;FTDT
17 G;M;;;;;;;;;;49,8;
17 D;M;457;93;;35,6;28,8;;;29,8;29,4;49,8;48
19 D;F;395;77;;27;25;;;25,6;23,5;;
19 G;Female;400;77,5;;26,5;24,8;;;25,3;23,1;;
20-2 D;TBD;405;85;;34,6;28,4;;;23,1;30,2;;
20-2 G;TBD;410;87;;35,5;27,1;;;21,6;31,8;;
22 D;TBD;440;90;;34,6;28,3;;;30,3;27;;
22 G;TBD;443;89;;30,5;25;;;29,5;26,7;;
24 D;TBD;441;78;;25,9;28;;;25,4;23,3;45,4;
24 G;F;444;81;;28,4;27,6;;;28;23,9;;
25 D;TBD;458;84;;32;25,6;;;27,8;25,9;44,4;42
25 G;M;461;84;;29,5;25,5;;;27,6;25,3;44,6;41,7
26 G;TBD;415;87;;32,6;27,9;;;27,1;28,3;;44,3
31 G;TBD;450;92;;32,2;30,5;;;30,6;26,9;47,7;43,4
35 D;M;447;92;;32,5;28,6;;;29,6;27,8;48,3;46,6
35 G;M;;;;32;27;;;;;48,5;47,5
2 D;M;;;;31,4;27,7;;;;;;
5-2 D;F;404;74;;24,5;25,5;;;22,5;23,6;;37,7
8 D;TBD;368;79;;29,4;27,8;;;21,6;26,1;41,4;40,3
8 G;F;382;84;;29,9;25,3;;;26,3;25,5;41,2;37,4
9 D;TBD;423;79;;39,8;27,3;;;25,9;23,7;;45,7
9 G;M;426;81;;32,2;25,5;;;27,2;24,9;45;43,5
11-1 G;TBD;426;85;;31,9;27,2;;;27,3;26,8;;
11-2 D;TBD;443;86;;33,4;37,2;;;28,1;26,7;45,7;
11-2 G;M;444;87;;35,1;30,1;;;27,8;28;45,3;
15 D;M;457;92;92;34,3;26,9;;;27,9;30,7;49,1;45
15 G;M;457;95;94;34,7;28;;;30,7;31,1;51;46,4
16-2 G;TBD;424;84;;33;25,8;;;27,5;26,3;41;39,2
18 D;TBD;411;82;;29,4;25,8;;;26,1;25,6;;42,3
21 D;TBD;394;77;;27,4;23,2;;;23,8;24,6;44;43
21 G;TBD;400;87;;29,2;23;;;23,1;24,9;42,7;40,7
23 D;TBD;403;76;;23,6;26,7;;;25,6;22,2;40,5;37,4
23 G;TBD;397;77;;28;22,4;;;25;23,8;40,1;41,2
27 D;M;452;94;;30,2;29;;;31,6;27,4;45,6;43,4
27 G;M;447;93;;32,6;28,7;;;30,9;29;45,9;43,4
28  D;F;407;82;80;28,5;29,1;24,9;26,9;26,8;25;41,5;40
28 G;F;415;83;82;31,1;25,4;25;25,3;27,5;25;41,5;39,6
37 D;TBD;440;79;;21,9;28,5;;;24,4;24,1;40,4;39,9
38 D;F;407;78;;28,3;32,2;;;26,3;23,5;;40,2
38 G;F;409;80;;28;28,8;;;25,5;24,7;;41,2
11260 D;TBD;455;96;;35,2;37,3;;;29,1;30,8;;45,1
11260 G;M;;;;39;30,2;;;;;35,6;
14130 D;TBD;458;90;;33,3;29,5;;;26,9;29,4;48,2;
